epoch,accuracy,loss,val_accuracy,val_loss
0,0.5221554040908813,1.935206651687622,0.7296922206878662,1.7257095575332642
1,0.7022907137870789,1.492965817451477,0.8294376134872437,1.3546690940856934
2,0.768207311630249,1.2924238443374634,0.8574404120445251,1.1968467235565186
3,0.8057210445404053,1.1431126594543457,0.8639203906059265,1.1418179273605347
4,0.8363510370254517,1.0262881517410278,0.8809303641319275,1.0186488628387451
5,0.8539654016494751,0.9370982646942139,0.8918074369430542,0.9532710909843445
6,0.8703505396842957,0.8585415482521057,0.8943531513214111,0.9034419655799866
7,0.8871840238571167,0.7914609909057617,0.911825954914093,0.8224506378173828
8,0.8991004824638367,0.7378653883934021,0.8986345529556274,0.8236042261123657
9,0.9071556925773621,0.6873300671577454,0.9088174104690552,0.778380811214447
10,0.9118412733078003,0.6489631533622742,0.9172645211219788,0.7104879021644592
11,0.9201856851577759,0.6062396764755249,0.9243230819702148,0.6773234009742737
12,0.9277057647705078,0.5668693780899048,0.9287201762199402,0.6365877985954285
13,0.9315815567970276,0.5354162454605103,0.9313816428184509,0.6004149913787842
14,0.9389570355415344,0.5012601613998413,0.9431844353675842,0.5468547940254211
15,0.9419795274734497,0.47346675395965576,0.9382087588310242,0.537941575050354
16,0.9423410892486572,0.45553484559059143,0.9429529905319214,0.5103935599327087
17,0.9468675851821899,0.429294228553772,0.9405230283737183,0.5024605989456177
18,0.9552698731422424,0.4032801389694214,0.9597315192222595,0.43694961071014404
19,0.9625151753425598,0.3821714222431183,0.9450358748435974,0.45911118388175964
0,0.9672152400016785,0.36540716886520386,0.9619300961494446,0.41850563883781433
1,0.9689795970916748,0.35913538932800293,0.9625086784362793,0.41007286310195923
2,0.9706282019615173,0.3542712330818176,0.9633187055587769,0.4086226224899292
3,0.9722768664360046,0.3495393991470337,0.9623929858207703,0.40294209122657776
4,0.9728842377662659,0.34573084115982056,0.9635500907897949,0.4014093577861786
5,0.9725660681724548,0.3439684510231018,0.9628558158874512,0.3964545428752899
6,0.9738965630531311,0.3420656621456146,0.9664429426193237,0.38957712054252625
7,0.9753716588020325,0.33685266971588135,0.9642443656921387,0.38848602771759033
8,0.9744895100593567,0.3349741995334625,0.9662114977836609,0.38297298550605774
9,0.9770637154579163,0.33048656582832336,0.9642443656921387,0.3880862593650818
10,0.9769190549850464,0.32787346839904785,0.9654015302658081,0.38314855098724365
11,0.9777867794036865,0.3275874853134155,0.9652858376502991,0.3818019926548004
12,0.9773818254470825,0.32537710666656494,0.9644758105278015,0.3824804723262787
13,0.9791750907897949,0.3235745429992676,0.9659801125526428,0.3787637948989868
14,0.9781627655029297,0.3227774202823639,0.9663272500038147,0.37890395522117615
